filename,Gaze,Headphones,Environment,Privacy,ObjectInHand
prompt_00001,Eyes_Closed,With_Headphones,Outdoor,Public,None
prompt_00002,Camera,With_Headphones,Indoor,Public,Cup
prompt_00003,Camera,With_Headphones,Indoor,Public,Cup
prompt_00004,Camera,With_Headphones,Indoor,Private,Unknown
prompt_00005,Camera,With_Headphones,Outdoor,Public,Unknown
prompt_00006,Not_Camera,With_Headphones,Indoor,Public,Unknown
prompt_00007,Eyes_Closed,Without_Headphones,Outdoor,Public,None
prompt_00008,Camera,With_Headphones,Outdoor,Public,Unknown
prompt_00009,Camera,Without_Headphones,Outdoor,Public,Unknown
prompt_00010,Camera,Without_Headphones,Outdoor,Public,Cup
prompt_00011,Camera,With_Headphones,Outdoor,Public,Unknown
prompt_00012,Eyes_Closed,With_Headphones,Indoor,Public,Unknown
prompt_00013,Not_Camera,With_Headphones,Indoor,Public,None
prompt_00014,Not_Camera,With_Headphones,Outdoor,Public,None
prompt_00015,Camera,Without_Headphones,Outdoor,Private,None
prompt_00016,Not_Camera,With_Headphones,Outdoor,Public,None
prompt_00017,Camera,Without_Headphones,Outdoor,Private,Unknown
prompt_00018,Eyes_Closed,With_Headphones,Outdoor,Private,None
prompt_00019,Eyes_Closed,With_Headphones,Indoor,Public,Unknown
prompt_00020,Not_Camera,Without_Headphones,Outdoor,Public,Unknown
prompt_00021,Eyes_Closed,Unknown,Indoor,Private,Phone
prompt_00022,Eyes_Closed,Unknown,Indoor,Private,Pen
inpaint_002,Camera,Without_Headphones,Outdoor,Public,Other
inpaint_003,Camera,Without_Headphones,Outdoor,Public,None
inpaint_005,Camera,Without_Headphones,Outdoor,Public,None
inpaint_015,Camera,Without_Headphones,Indoor,Private,Other
inpaint_020,Not_Camera,Without_Headphones,Indoor,Private,Cup
inpaint_021,Not_Camera,Without_Headphones,Indoor,Private,Phone
inpaint_022,Camera,With_Headphones,Indoor,Private,None
inpaint_024,Not_Camera,Without_Headphones,Outdoor,Private,Phone
